# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Dec  7 13:30:58 2023
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
#
pl_name,hostname,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,pl_insol,pl_eqt,st_spectype,st_teff,st_rad,st_metratio,st_lum,rastr,ra,decstr,dec
HAT-P-43 b,HAT-P-43,3.33264140,0.044400,13.630,210.39500,0.210000,524.35,1353,F9,5693.00,1.08,[Fe/H],0.060,08h35m42.17s,128.9256885,+10d12m23.71s,10.2065866
HAT-P-44 b,HAT-P-44,4.30121900,0.050700,13.922,111.87100,0.044000,185.12,1108,,5295.00,0.95,[Fe/H],-0.194,14h12m34.53s,213.1438604,+47d00m53.22s,47.0147826
HAT-P-44 c,HAT-P-44,872.20000000,1.752000,13.000,1271.30000,0.494000,,,,5295.00,0.95,[Fe/H],-0.194,14h12m34.53s,213.1438604,+47d00m53.22s,47.0147826
HAT-P-45 b,HAT-P-45,3.12899200,0.045200,15.984,283.49200,0.049000,,1652,,6330.00,1.32,[Fe/H],0.400,18h17m29.58s,274.3732697,-03d22m51.81s,-3.3810594
HAT-P-46 b,HAT-P-46,4.46312900,0.057700,14.392,156.68400,0.123000,,1458,,6120.00,1.40,[Fe/H],0.391,18h01m46.60s,270.4441831,-02d58m15.53s,-2.9709800
HAT-P-49 b,HAT-P-49,2.69155000,0.043780,17.822,699.22600,0.000000,4243.28,2131,F,6820.00,2.06,[Fe/H],0.814,20h21m45.92s,305.4413294,+26d41m33.63s,26.6926759
HAT-P-5 b,HAT-P-5,2.78849000,0.040730,13.563,311.47340,0.000000,850.68,1539,G,5960.00,1.12,[Fe/H],0.187,18h17m37.33s,274.4055335,+36d37m17.26s,36.6214617
HAT-P-50 b,HAT-P-50,3.12201090,0.045300,14.437,429.07050,0.115000,1198.68,1862,F5,6280.00,1.70,[Fe/H],0.603,07h52m15.23s,118.0634379,+12d08m21.65s,12.1393474
HAT-P-51 b,HAT-P-51,4.21802780,0.050690,14.493,98.20947,0.123000,311.71,1192,G7,5449.00,1.04,[Fe/H],-0.066,01h24m15.63s,21.0651251,+32d48m38.52s,32.8107000
HAT-P-52 b,HAT-P-52,2.75359530,0.036940,11.310,259.98494,0.047000,227.76,1218,K1,5131.00,0.89,[Fe/H],-0.305,02h50m53.22s,42.7217412,+29d01m20.10s,29.0222492
HAT-P-53 b,HAT-P-53,1.96162410,0.031590,14.773,471.65972,0.134000,1611.53,1778,,5956.00,1.21,[Fe/H],0.217,01h27m29.06s,21.8711012,+38d58m05.21s,38.9681137
HAT-P-54 b,HAT-P-54,3.79984700,0.041170,10.581,241.55080,0.074000,22.20,818,K7,4390.00,0.62,[Fe/H],-0.902,06h39m35.52s,99.8979924,+25d28m56.64s,25.4824005
HAT-P-55 b,HAT-P-55,3.58524670,0.046040,13.249,184.97706,0.139000,547.17,1313,,5808.00,1.01,[Fe/H],0.064,17h37m05.64s,264.2735096,+25d43m52.13s,25.7311468
HAT-P-56 b,HAT-P-56,2.79083000,0.042300,16.926,734.18730,0.290000,3515.00,1840,F8,6566.00,1.47,[Fe/H],0.553,06h43m23.52s,100.8480137,+27d15m07.86s,27.2521823
HAT-P-57 b,HAT-P-57,2.46530000,0.040600,19.504,448.14030,0.000000,,2200,A8 V,6330.00,1.85,[Fe/H],0.806,18h18m58.42s,274.7434180,+10d35m49.91s,10.5971968
HAT-P-58 b,HAT-P-58,4.01383790,0.049940,14.930,118.23217,0.073000,1146.00,1622,,6078.00,1.53,[Fe/H],0.456,04h35m23.16s,68.8465093,+56d52m05.77s,56.8682691
HAT-P-59 b,HAT-P-59,4.14197710,0.050640,12.588,489.45575,0.030000,441.40,1278,,5678.00,1.10,[Fe/H],0.054,19h29m50.12s,292.4588212,+62d31m45.08s,62.5291892
HAT-P-6 b,HAT-P-6,3.85298000,0.052390,16.589,419.53560,0.000000,1669.87,1675,,6570.00,1.62,[Fe/H],0.553,23h39m05.78s,354.7740917,+42d27m57.55s,42.4659866
HAT-P-60 b,HAT-P-60,4.79478130,0.062770,18.282,182.43351,0.250000,1634.00,1772,,6212.00,2.20,[Fe/H],0.809,01h53m07.82s,28.2825719,+52d03m14.12s,52.0539209
HAT-P-61 b,HAT-P-61,1.90231289,0.030100,10.077,335.94463,0.113000,849.50,1505,,5587.00,0.94,[Fe/H],-0.115,05h01m55.24s,75.4801665,+50d07m52.24s,50.1311784
HAT-P-62 b,HAT-P-62,2.64532350,0.037720,12.027,241.86742,0.101000,867.20,1512,,5629.00,1.17,[Fe/H],0.091,04h58m01.05s,74.5043816,+48d18m03.08s,48.3008551
HAT-P-63 b,HAT-P-63,3.37772800,0.042940,12.543,195.14664,0.069000,387.40,1237,,5400.00,0.97,[Fe/H],-0.146,18h39m11.22s,279.7967696,-20d01m27.37s,-20.0242684
HAT-P-64 b,HAT-P-64,4.00723200,0.053870,19.089,184.34048,0.101000,1611.00,1766,,6457.00,1.74,[Fe/H],0.668,04h35m53.85s,68.9743955,+02d25m52.58s,2.4312732
HAT-P-65 b,HAT-P-65,2.60545520,0.039510,21.185,167.49641,0.304000,2114.86,1930,G2,5835.00,1.86,[Fe/H],0.555,21h03m37.32s,315.9054895,+11d59m21.72s,11.9893675
HAT-P-66 b,HAT-P-66,2.97208600,0.043630,17.822,248.86089,0.090000,1939.51,1896,G0,6002.00,1.88,[Fe/H],0.615,10h02m17.43s,150.5726262,+53d57m02.97s,53.9508237
HAT-P-67 b,HAT-P-67,4.81010250,0.065050,23.371,108.06220,0.000000,2884.58,1903,,6406.00,2.55,[Fe/H],0.939,17h06m26.57s,256.6107279,+44d46m36.79s,44.7768849
HAT-P-68 b,HAT-P-68,2.29840551,0.029960,12.016,230.10892,0.041000,184.80,1028,K,4508.00,0.67,[Fe/H],-0.779,07h53m55.96s,118.4831501,+23d56m17.59s,23.9382192
HAT-P-69 b,HAT-P-69,4.78694910,0.065550,18.786,1137.83140,0.000000,2320.18,1930,,7394.00,1.93,[Fe/H],1.000,08h42m01.35s,130.5056385,+03d42m38.04s,3.7105662
HAT-P-7 b,HAT-P-7,2.20474000,0.036760,16.926,584.80720,0.000000,4353.41,2733,,6389.00,2.00,[Fe/H],0.814,19h28m59.33s,292.2471900,+47d58m10.35s,47.9695429
HAT-P-70 b,HAT-P-70,2.74432452,0.047390,20.961,2154.88740,0.000000,5626.34,2562,,8450.00,1.86,[Fe/H],1.223,04h58m12.56s,74.5523332,+09d59m52.73s,9.9979794
HAT-P-8 b,HAT-P-8,3.07634000,0.044960,15.693,406.82240,0.000000,1519.96,1700,F6,6200.00,1.57,[Fe/H],0.519,22h52m09.96s,343.0414932,+35d26m49.84s,35.4471778
HAT-P-9 b,HAT-P-9,3.92281072,0.052870,15.614,238.05467,0.084000,931.00,1540,F7,6350.00,1.34,[Fe/H],0.418,07h20m40.44s,110.1685157,+37d08m26.14s,37.1405946
HATS-1 b,HATS-1,3.44645900,0.044400,14.594,589.55000,0.120000,489.95,1359,,5870.00,1.04,[Fe/H],0.041,11h42m06.06s,175.5252399,-23d21m17.44s,-23.3548451
HATS-10 b,HATS-10,3.31284600,0.044910,10.862,167.17858,0.501000,,1407,,5880.00,1.10,[Fe/H],0.117,19h37m13.64s,294.3068385,-22d12m16.15s,-22.2044872
HATS-11 b,HATS-11,3.61918800,0.050700,18.030,263.79890,0.340000,,1596,G0,6563.00,1.54,[Fe/H],0.403,19h17m36.18s,289.4007603,-22d23m24.03s,-22.3900092
HATS-12 b,HATS-12,3.14270200,0.044100,7.760,759.61370,0.085000,,1446,F,6357.00,1.17,[Fe/H],0.863,19h16m48.58s,289.2024020,-19d21m21.32s,-19.3559227
HATS-13 b,HATS-13,3.04404990,0.040570,13.585,172.58169,0.181000,315.99,1244,,5523.00,0.89,[Fe/H],-0.321,21h07m50.76s,316.9614798,-26d05m48.19s,-26.0967205
HATS-14 b,HATS-14,2.76676410,0.038150,11.646,340.39593,0.142000,505.89,1276,,5346.00,0.93,[Fe/H],-0.173,20h52m51.71s,313.2154754,-25d41m14.55s,-25.6873756
HATS-15 b,HATS-15,1.74748753,0.027120,12.386,689.69110,0.126000,,1505,G9 V,5311.00,0.92,[Fe/H],-0.204,20h44m22.08s,311.0920041,-19d26m15.10s,-19.4375266
HATS-16 b,HATS-16,2.68650200,0.037440,14.572,1039.30410,0.000000,994.81,1592,G3 V,5738.00,1.24,[Fe/H],0.173,23h54m14.12s,358.5588439,-30d00m46.94s,-30.0130385
HATS-17 b,HATS-17,16.25461100,0.130800,8.709,425.25654,0.029000,72.70,814,G V,5846.00,1.09,[Fe/H],0.093,12h48m45.50s,192.1895676,-47d36m49.24s,-47.6136789
HATS-18 b,HATS-18,0.83784000,0.017400,14.897,629.14449,0.166000,2990.00,2069,G V,5600.00,1.02,[Fe/H],-0.032,11h35m49.78s,173.9574203,-29d09m21.83s,-29.1560639
HATS-2 b,HATS-2,1.35413300,0.023000,13.092,427.46300,0.000000,667.12,1577,K,5227.00,0.90,[Fe/H],-0.268,11h46m57.32s,176.7388264,-22d33m46.83s,-22.5630097
HATS-22 b,HATS-22,4.72281240,0.050250,10.682,870.85420,0.079000,111.30,858,K V,4803.00,0.69,[Fe/H],-0.646,11h36m02.37s,174.0098693,-29d32m36.11s,-29.5433642
HATS-23 b,HATS-23,2.16051560,0.033970,20.849,467.21010,0.114000,,1654,G V,5780.00,1.20,[Fe/H],0.155,19h05m28.02s,286.3667500,-50d04m02.46s,-50.0673496
HATS-24 b,HATS-24,1.34849780,0.023800,15.637,718.29580,0.000000,2706.96,2166,F V,6125.00,1.12,[Fe/H],0.190,17h55m33.77s,268.8907069,-61d44m50.64s,-61.7474000
HATS-25 b,HATS-25,4.29864320,0.051630,14.123,194.82979,0.176000,326.89,1277,G,5715.00,1.11,[Fe/H],0.068,13h51m37.84s,207.9076746,-23d46m52.47s,-23.7812403
HATS-26 b,HATS-26,3.30238810,0.047350,19.616,206.58950,0.245000,2236.57,1918,F,6071.00,2.04,[Fe/H],0.704,09h39m42.45s,144.9268593,-28d35m08.16s,-28.5856004
HATS-27 b,HATS-27,4.63703800,0.061100,16.814,168.44990,0.581000,1342.57,1659,F,6438.00,1.74,[Fe/H],0.669,12h54m12.59s,193.5524603,-46d35m15.78s,-46.5877159
HATS-28 b,HATS-28,3.18107810,0.041310,13.384,213.58176,0.202000,,1253,G,5498.00,0.92,[Fe/H],-0.157,18h57m35.94s,284.3997616,-49d08m18.65s,-49.1385126
HATS-29 b,HATS-29,4.60587490,0.054750,14.022,207.54299,0.158000,,1212,G,5670.00,1.07,[Fe/H],0.029,19h00m23.16s,285.0965172,-54d53m36.03s,-54.8933408
HATS-3 b,HATS-3,3.54785100,0.048500,15.480,340.38200,0.000000,1212.00,1648,F,6351.00,1.40,[Fe/H],0.456,20h49m49.80s,312.4574879,-24d25m43.30s,-24.4286938
HATS-30 b,HATS-30,3.17435160,0.043540,13.171,224.38798,0.096000,718.91,1414,G,5943.00,1.06,[Fe/H],0.097,00h22m28.45s,5.6185250,-59d56m33.32s,-59.9425892
HATS-31 b,HATS-31,3.37796000,0.047800,18.383,279.69040,0.233000,1619.41,1823,,6050.00,1.87,[Fe/H],0.619,12h46m48.68s,191.7028214,-24d25m38.60s,-24.4273897
HATS-32 b,HATS-32,2.81265480,0.040240,14.000,292.40360,0.471000,614.59,1437,,5700.00,1.10,[Fe/H],0.057,23h04m18.02s,346.0750861,-21d16m19.26s,-21.2720168
HATS-33 b,HATS-33,2.54955510,0.037270,13.787,378.85336,0.080000,757.13,1429,,5659.00,1.02,[Fe/H],-0.018,19h38m32.09s,294.6336944,-55d19m48.97s,-55.3302692
HATS-34 b,HATS-34,2.10616070,0.031660,16.029,299.07803,0.108000,691.84,1445,,5380.00,0.98,[Fe/H],-0.140,00h03m05.88s,0.7744866,-62d28m09.54s,-62.4693167
HATS-35 b,HATS-35,1.82099930,0.031990,16.410,388.38826,0.306000,2440.70,2037,,6300.00,1.43,[Fe/H],0.465,19h46m45.23s,296.6884420,-63d33m56.34s,-63.5656488
HATS-36 b,HATS-36,4.17518600,0.052300,12.920,1022.14128,0.105000,561.00,1203,G0 V,5950.00,1.10,[Fe/H],0.215,19h25m54.89s,291.4787013,-23d12m10.15s,-23.2028183
HATS-37 A b,HATS-37 A,4.33153660,0.049130,6.793,31.46517,0.000000,229.70,1085,,5326.00,0.88,[Fe/H],-0.256,13h19m12.44s,199.8018300,-22d59m12.64s,-22.9868431
HATS-38 b,HATS-38,4.37502100,0.050360,6.882,23.51942,0.000000,464.70,1294,,5732.00,1.10,[Fe/H],0.072,10h17m05.05s,154.2710615,-25d16m34.67s,-25.2762982
HATS-39 b,HATS-39,4.57763480,0.060070,17.598,200.23290,0.275000,1547.10,1645,,6572.00,1.62,[Fe/H],0.640,07h29m40.61s,112.4192251,-29d56m16.50s,-29.9379163
HATS-4 b,HATS-4,2.51672900,0.036200,11.433,420.47100,0.013000,558.83,1315,G,5403.00,0.93,[Fe/H],-0.187,06h16m26.90s,94.1120914,-22d32m48.78s,-22.5468824
HATS-40 b,HATS-40,3.26427360,0.049970,17.710,505.34970,0.312000,3163.38,2101,,6460.00,2.26,[Fe/H],0.903,06h42m17.10s,100.5712467,-29d46m36.41s,-29.7767800
HATS-41 b,HATS-41,4.19364900,0.058300,14.908,3082.95100,0.380000,1300.31,1710,,6424.00,1.71,[Fe/H],0.653,06h54m04.17s,103.5173558,-27d03m01.50s,-27.0504156
HATS-42 b,HATS-42,2.29210200,0.036890,15.693,597.52040,0.229000,1637.21,1856,,6060.00,1.48,[Fe/H],0.425,07h13m48.58s,108.4523991,-33d26m14.45s,-33.4373462
HATS-43 b,HATS-43,4.38884970,0.049440,13.227,82.95363,0.173000,192.23,1003,,5099.00,0.81,[Fe/H],-0.398,05h22m09.18s,80.5382418,-30d58m14.94s,-30.9708179
HATS-44 b,HATS-44,2.74390040,0.036490,11.960,177.98480,0.279000,306.42,1161,,5080.00,0.85,[Fe/H],-0.398,05h37m18.42s,84.3267559,-27d58m21.27s,-27.9725758
HATS-45 b,HATS-45,4.18762440,0.055110,14.415,222.48100,0.240000,811.35,1518,,6450.00,1.32,[Fe/H],0.425,06h47m58.62s,101.9942455,-21d54m38.56s,-21.9107112
HATS-46 b,HATS-46,4.74237290,0.053670,10.122,54.98459,0.559000,209.77,1054,,5495.00,0.85,[Fe/H],-0.230,00h26m48.63s,6.7026401,-56d18m57.97s,-56.3161021
HATS-47 b,HATS-47,3.92280380,0.042690,12.520,117.27927,0.088000,87.73,853,,4512.00,0.66,[Fe/H],-0.796,19h09m56.26s,287.4844021,-49d39m53.79s,-49.6649424
HATS-48 A b,HATS-48 A,3.13166660,0.037690,8.967,77.23269,0.162000,137.60,955,,4546.00,0.72,[Fe/H],-0.709,19h14m41.28s,288.6720048,-59d34m45.66s,-59.5793505
HATS-49 b,HATS-49,4.14804670,0.045150,8.575,112.19399,0.071000,80.45,835,,4405.00,0.70,[Fe/H],-0.785,00h26m27.26s,6.6135927,-56d20m39.41s,-56.3442798
HATS-5 b,HATS-5,4.76338700,0.054200,10.223,75.32300,0.019000,183.24,1025,G,5304.00,0.87,[Fe/H],-0.268,04h28m53.48s,67.2228465,-21d28m55.40s,-21.4820568
HATS-50 b,HATS-50,3.82970150,0.050460,12.666,123.95370,0.516000,,,,5990.00,1.12,,0.143,20h01m42.74s,300.4280761,-26d04m39.23s,-26.0775640
HATS-51 b,HATS-51,3.34887020,0.046390,15.805,244.09344,0.330000,740.22,1553,,5758.00,1.44,,0.310,06h51m23.38s,102.8474248,-29d03m31.16s,-29.0586551
HATS-52 b,HATS-52,1.36665436,0.024980,15.491,711.93920,0.246000,1310.22,1834,,6010.00,1.05,[M/H],0.068,09h20m21.02s,140.0875894,-31d16m09.16s,-31.2692116
HATS-53 b,HATS-53,3.85377680,0.047530,15.020,189.10885,0.330000,471.61,1312,,5644.00,1.10,,0.045,11h46m30.80s,176.6283230,-33d51m36.28s,-33.8600764
HATS-54 b,HATS-54,2.54417650,0.037000,11.377,239.32479,0.000000,476.97,1429,G6 V,5621.00,1.23,[Fe/H],0.115,13h22m32.37s,200.6348641,-44d41m19.82s,-44.6888393
HATS-55 b,HATS-55,4.20420010,0.054120,14.022,292.72143,0.092000,355.91,1367,,6214.00,1.13,[Fe/H],0.229,07h37m08.01s,114.2833819,-32d45m19.51s,-32.7554188
HATS-56 b,HATS-56,4.32479900,0.060430,18.921,191.33366,0.019000,1080.87,1902,,6536.00,2.20,[Fe/H],0.898,12h00m39.62s,180.1650720,-45d47m58.04s,-45.7994559
HATS-57 b,HATS-57,2.35062100,0.034930,12.767,1000.21101,0.028000,570.23,1413,,5587.00,0.96,[Fe/H],-0.094,04h03m47.59s,60.9482779,-19d03m24.55s,-19.0568182
HATS-58 A b,HATS-58 A,4.21808960,0.057980,12.274,327.36490,0.168000,382.71,1721,,7175.00,1.43,,0.689,12h27m08.95s,186.7873036,-48d58m42.28s,-48.9784105
HATS-59 b,HATS-59,5.41608100,0.061120,12.621,256.17098,0.129000,269.00,1128,,5670.00,1.04,[Fe/H],-0.004,11h21m17.84s,170.3243250,-22d23m17.44s,-22.3881770
HATS-59 c,HATS-59,1422.00000000,2.504000,12.300,4036.44100,0.083000,0.16,176,,5670.00,1.04,[Fe/H],-0.004,11h21m17.84s,170.3243250,-22d23m17.44s,-22.3881770
HATS-6 b,HATS-6,3.32527250,0.036230,11.187,101.38777,0.000000,47.33,713,M1 V,3724.00,0.57,[Fe/H],-1.100,05h52m35.23s,88.1468079,-19d01m53.86s,-19.0316268
HATS-60 b,HATS-60,3.56082900,0.047080,12.924,210.40346,0.191000,903.90,1528,,5688.00,1.46,[Fe/H],0.300,22h45m27.37s,341.3640336,-14d59m30.39s,-14.9917747
HATS-61 b,HATS-61,7.81795300,0.079080,13.395,1080.62200,0.092000,374.20,1226,,5542.00,1.66,[Fe/H],0.369,04h06m37.87s,61.6578005,-25d20m58.80s,-25.3496674
HATS-62 b,HATS-62,3.27688370,0.041630,11.825,56.89157,0.298000,387.40,1237,,5416.00,0.93,[Fe/H],-0.173,20h49m47.83s,312.4493079,-24d18m12.62s,-24.3035060
HATS-63 b,HATS-63,3.05665270,0.040260,13.529,305.11680,0.136000,634.10,1398,,5627.00,1.07,[Fe/H],0.012,04h29m40.46s,67.4185820,-28d11m49.97s,-28.1972149
HATS-64 b,HATS-64,4.90889700,0.065620,18.820,305.11680,0.151000,1711.00,1793,,6554.00,2.11,[Fe/H],0.867,09h37m09.03s,144.2876092,-29d48m01.60s,-29.8004440
HATS-65 b,HATS-65,3.10516100,0.044970,16.825,260.93843,0.062000,1178.00,1634,,6277.00,1.31,[Fe/H],0.377,19h31m45.55s,292.9397825,-26d44m24.73s,-26.7402021
HATS-66 b,HATS-66,3.14143910,0.047140,15.816,1694.03390,0.064000,2637.00,1998,,6626.00,1.84,[Fe/H],0.767,06h45m34.75s,101.3948048,-33d52m54.09s,-33.8816918
HATS-67 b,HATS-67,1.60917880,0.030320,18.887,460.85350,0.057000,3821.00,2193,,6594.00,1.44,[Fe/H],0.547,12h00m50.11s,180.2087883,-46d08m11.11s,-46.1364201
HATS-68 b,HATS-68,3.58622020,0.050710,13.809,410.00070,0.036000,1521.00,1741,,6147.00,1.75,[Fe/H],0.592,01h00m01.46s,15.0060770,-58d54m17.01s,-58.9047242
HATS-69 b,HATS-69,2.22525770,0.032110,10.593,183.38791,0.519000,466.60,1296,,5137.00,0.88,[Fe/H],-0.318,19h17m11.38s,289.2974275,-60d53m30.34s,-60.8917599
HATS-7 b,HATS-7,3.18531500,0.040120,6.311,38.13960,0.170000,211.62,1084,K2,4985.00,0.82,[Fe/H],-0.434,13h55m25.62s,208.8567465,-21d12m28.29s,-21.2078587
HATS-70 b,HATS-70,1.88823780,0.036320,15.513,4100.00700,0.180000,9110.00,2730,,7930.00,1.88,[Fe/H],1.079,07h16m25.09s,109.1045212,-31d14m39.82s,-31.2443947
HATS-71 b,HATS-71,3.79552020,0.037450,11.478,117.59710,0.000000,18.08,587,M3 V,3405.00,0.48,[Fe/H],-1.560,01h02m12.45s,15.5518893,-61d45m22.08s,-61.7561333
HATS-72 b,HATS-72,7.32794740,0.066517,8.097,39.85588,0.013000,49.58,739,,4656.10,0.72,[Fe/H],-0.659,22h36m06.20s,339.0258401,-17d00m01.10s,-17.0003046
HATS-74 A b,HATS-74 A,1.73185606,0.023840,11.568,464.02947,0.044000,106.90,895,,3776.90,0.58,[Fe/H],-1.216,11h24m03.55s,171.0147921,-19d33m25.05s,-19.5569588
HATS-75 b,HATS-75,2.78865560,0.032742,9.909,156.05375,0.064000,59.26,772,,3790.40,0.58,[Fe/H],-1.197,04h03m47.85s,60.9493919,-25d24m32.12s,-25.4089214
HATS-76 b,HATS-76,1.94164230,0.026580,12.094,835.57088,0.062000,129.80,940,,4016.00,0.63,[Fe/H],-1.038,04h41m21.54s,70.3397665,-32d19m13.50s,-32.3204175
HATS-77 b,HATS-77,3.08762620,0.036070,13.058,436.69623,0.045000,78.37,828,,4071.00,0.64,[Fe/H],-0.992,09h59m17.68s,149.8236672,-27d23m34.14s,-27.3928174
HATS-8 b,HATS-8,3.58389300,0.046670,9.785,43.86054,0.376000,,1324,,5679.00,1.09,[Fe/H],-0.025,19h39m46.01s,294.9416887,-25d44m54.12s,-25.7483655
HATS-9 b,HATS-9,1.91529100,0.031200,13.850,266.02371,0.075000,,1746,,5599.00,1.56,[Fe/H],0.312,19h23m14.44s,290.8101704,-20d09m58.96s,-20.1663771
HD 100546 b,HD 100546,,53.000000,77.342,239000.00000,,,,B9 Vne,10500.00,1.85,,1.500,11h33m25.32s,173.3555116,-70d11m41.24s,-70.1947897
HD 100655 b,HD 100655,157.57001000,0.680000,13.500,511.70630,0.090000,,,G9 III,4891.00,10.06,[Fe/H],1.633,11h35m03.69s,173.7653631,+20d26m29.55s,20.4415410
HD 100777 b,HD 100777,383.00000000,1.060000,13.700,390.92894,0.380000,,,G8 V,5533.00,1.04,[Fe/H],0.021,11h35m51.51s,173.9646303,-04d45m19.95s,-4.7555425
HD 10180 c,HD 10180,5.75969000,0.064120,3.680,13.10000,0.073000,,,G1 V,5911.00,1.11,[Fe/H],0.173,01h37m53.55s,24.4731133,-60d30m41.36s,-60.5114881
HD 10180 d,HD 10180,16.35700000,0.128590,3.450,11.75000,0.131000,,,G1 V,5911.00,1.11,[Fe/H],0.173,01h37m53.55s,24.4731133,-60d30m41.36s,-60.5114881
HD 10180 e,HD 10180,49.74800000,0.269900,5.390,25.10000,0.051000,,,G1 V,5911.00,1.11,[Fe/H],0.173,01h37m53.55s,24.4731133,-60d30m41.36s,-60.5114881
HD 10180 f,HD 10180,122.74400000,0.492900,5.240,23.90000,0.119000,,,G1 V,5911.00,1.11,[Fe/H],0.173,01h37m53.55s,24.4731133,-60d30m41.36s,-60.5114881
HD 10180 g,HD 10180,604.67000000,1.427000,4.910,21.40000,0.263000,,,G1 V,5911.00,1.11,[Fe/H],0.173,01h37m53.55s,24.4731133,-60d30m41.36s,-60.5114881
HD 10180 h,HD 10180,2205.00000000,3.381000,9.400,64.40000,0.095000,,,G1 V,5911.00,1.11,[Fe/H],0.173,01h37m53.55s,24.4731133,-60d30m41.36s,-60.5114881
HD 101930 b,HD 101930,70.46000000,0.300000,10.600,79.45750,0.110000,,,K1 V,5108.00,0.86,[Fe/H],-0.310,11h43m30.15s,175.8756080,-58d00m19.37s,-58.0053798
HD 102117 b,HD 102117,20.81330000,0.150000,8.470,54.03110,0.120000,,,G6 V,5655.00,1.23,[Fe/H],0.157,11h44m50.33s,176.2097267,-58d42m14.45s,-58.7040134
HD 102195 b,HD 102195,4.11377000,0.050000,14.200,130.31030,0.000000,,,K0 V,5301.00,0.82,[Fe/H],-0.334,11h45m42.10s,176.4254063,+02d49m15.57s,2.8209912
HD 102272 b,HD 102272,127.58000000,0.510000,12.900,1570.08020,0.050000,,,K0,4790.00,10.30,[Fe/H],1.662,11h46m23.53s,176.5980316,+14d07m26.47s,14.1240201
HD 102329 b,HD 102329,778.09998000,1.810000,12.600,2593.49280,0.210000,,,K0 III,4745.00,9.82,[Fe/H],1.292,11h46m46.60s,176.6941567,+03d28m27.17s,3.4742143
HD 102329 c,HD 102329,1123.00000000,,13.500,483.10160,0.209000,,,K0 III,4830.00,6.30,[Fe/H],1.585,11h46m46.60s,176.6941567,+03d28m27.17s,3.4742143
HD 102365 b,HD 102365,122.10000000,0.460000,4.140,16.00000,0.340000,,,G3/5V,5630.00,0.95,[Fe/H],-0.057,11h46m28.99s,176.6208003,-40d29m55.04s,-40.4986211
HD 102843 b,HD 102843,3090.94200000,4.074000,13.100,113.90000,0.110000,,,K0 V,5436.00,0.96,[M/H],-0.138,11h50m20.51s,177.5854673,-01d15m08.28s,-1.2522989
HD 102956 b,HD 102956,6.49470000,0.080700,13.800,305.11680,0.037000,,,G5,4985.00,4.55,[Fe/H],1.064,11h51m22.49s,177.8436988,+57d38m26.37s,57.6406584
HD 103197 b,HD 103197,47.84000000,0.250000,5.830,28.60470,0.000000,,,K1 V(P),5250.00,0.88,[Fe/H],-0.328,11h52m52.85s,178.2201971,-50d17m34.05s,-50.2927911
HD 103720 b,HD 103720,4.55570000,0.049800,14.100,197.04600,0.086000,,,K3 V,5017.00,0.73,[Fe/H],-0.458,11h56m41.12s,179.1713308,-02d46m44.90s,-2.7791393
HD 103774 b,HD 103774,5.88810000,0.070000,13.300,116.00000,0.090000,,,F5 V,6489.00,1.58,[Fe/H],0.544,11h56m55.46s,179.2310729,-12d06m28.78s,-12.1079951
HD 103891 b,HD 103891,1919.00000000,3.270000,13.200,918.52410,0.310000,,,F9,6072.00,2.22,[Fe/H],0.786,11h57m45.19s,179.4382907,-08d32m55.03s,-8.5486195
HD 103949 b,HD 103949,120.87800000,0.439000,3.350,11.20000,0.190000,,,K3 V,4792.00,0.75,[M/H],-0.569,11h58m11.51s,179.5479558,-23d55m26.84s,-23.9241221
HD 104067 b,HD 104067,55.80600000,0.260000,8.180,50.85280,0.000000,,,K2 V,4937.00,0.74,[Fe/H],-0.513,11h59m10.17s,179.7923543,-20d21m20.18s,-20.3556058
HD 10442 b,HD 10442,1032.30000000,2.010000,13.600,472.61321,0.132000,,,K0 IV,4912.00,1.97,[Fe/H],0.310,01h41m53.17s,25.4715240,+02d42m15.91s,2.7044193
HD 104985 b,HD 104985,199.68000000,0.715000,12.800,1766.80811,0.047000,,,G9 III,4738.00,11.12,[Fe/H],1.770,12h05m15.79s,181.3157854,+76d54m19.21s,76.9053359
HD 105618 b,HD 105618,10.02245000,0.091000,5.440,25.42627,0.455000,,,,5671.00,1.27,,0.180,12h09m36.51s,182.4021288,+11d12m41.65s,11.2115695
